CaseID,ActivityID,timestamp,related_objects
880001,9,2019-05-20 09:07:47,990001
880001,7,2019-05-20 11:13:54,990001
880001,23,2019-05-23 10:40:50,990001
880001,10,2019-05-27 17:54:52,990001
880001,25,2019-06-04 15:20:53,990001
880002,9,2019-05-20 09:07:47,990001
880002,7,2019-05-20 11:13:54,990001
880002,25,2019-05-20 11:20:13,990001
880003,9,2019-05-20 09:07:47,990001
880003,7,2019-05-20 11:13:54,990001
880003,25,2019-05-23 11:00:25,990001
880004,9,2019-05-20 09:07:47,990001
880004,7,2019-05-20 11:13:54,990001
880004,23,2019-05-20 13:54:37,990001
880004,10,2019-05-21 10:03:49,990001
880004,25,2019-06-20 14:58:13,990001
880005,9,2019-05-20 10:35:21,990002
880005,7,2019-05-21 12:19:16,990002
880005,25,2019-05-21 12:35:03,990002
880006,9,2019-05-20 10:35:21,990002
880006,25,2019-05-20 10:38:17,990002
880006,7,2019-05-21 12:19:16,990002
880007,9,2019-05-20 10:35:21,990002
880007,25,2019-05-20 18:15:00,990002
880007,7,2019-05-21 12:19:16,990002
880008,9,2019-05-20 10:35:21,990002
880008,25,2019-05-20 17:08:25,990002
880008,7,2019-05-21 12:19:16,990002
880009,9,2019-05-20 12:30:30,990003
880009,7,2019-05-20 12:34:16,990003
880009,23,2019-05-20 15:19:49,990003
880009,10,2019-05-22 16:52:23,990003
880009,25,2019-05-24 17:26:40,990003
880010,9,2019-05-20 12:30:30,990003
880010,7,2019-05-20 12:34:16,990003
880010,25,2019-05-21 09:43:01,990003
880011,9,2019-05-20 12:30:30,990003
880011,7,2019-05-20 12:34:16,990003
880011,25,2019-05-20 17:51:15,990003
880012,9,2019-05-20 12:30:30,990003
880012,7,2019-05-20 12:34:16,990003
880012,25,2019-05-21 14:58:29,990003
880013,9,2019-05-20 14:20:47,990004
880013,7,2019-05-20 18:36:37,990004
880013,25,2019-05-21 12:39:01,990004
880014,9,2019-05-20 14:20:47,990004
880014,25,2019-05-20 16:56:02,990004
880014,7,2019-05-20 18:36:37,990004
880015,9,2019-05-20 16:01:22,990005
880015,7,2019-05-21 10:34:23,990005
880015,25,2019-05-22 11:18:26,990005
880016,9,2019-05-20 16:01:22,990005
880016,7,2019-05-21 10:34:23,990005
880016,25,2019-05-22 15:24:59,990005
880017,9,2019-05-20 17:22:31,990006
880017,25,2019-05-21 12:15:15,990006
880017,7,2019-05-21 14:55:05,990006
880018,9,2019-05-20 17:22:31,990006
880018,7,2019-05-21 14:55:05,990006
880018,25,2019-05-22 10:17:48,990006
880019,9,2019-05-20 17:22:31,990006
880019,25,2019-05-21 08:55:41,990006
880019,7,2019-05-21 14:55:05,990006
880020,9,2019-05-20 19:04:49,990007
880020,7,2019-05-21 14:33:48,990007
880020,25,2019-05-21 17:02:33,990007
880021,9,2019-05-20 19:04:49,990007
880021,7,2019-05-21 14:33:48,990007
880021,25,2019-05-27 09:53:59,990007
880022,9,2019-05-20 19:04:49,990007
880022,25,2019-05-21 10:49:44,990007
880022,7,2019-05-21 14:33:48,990007
880023,9,2019-05-20 21:49:13,990008
880023,7,2019-05-22 10:34:00,990008
880023,25,2019-05-22 17:13:56,990008
880024,9,2019-05-20 21:49:13,990008
880024,25,2019-05-21 13:42:40,990008
880024,7,2019-05-22 10:34:00,990008
880025,9,2019-05-20 21:49:13,990008
880025,25,2019-05-21 14:56:24,990008
880025,7,2019-05-22 10:34:00,990008
880026,9,2019-05-20 21:49:13,990008
880026,25,2019-05-21 15:02:54,990008
880026,7,2019-05-22 10:34:00,990008
