CaseID,ActivityID,timestamp,related_objects
880001,23,2019-05-20 09:07:47,990001
880001,11,2019-05-20 11:13:54,990001
880001,18,2019-05-23 10:40:50,990001
880001,21,2019-05-23 11:27:55,990001
880001,7,2019-05-27 17:54:52,990001
880001,8,2019-06-04 15:20:53,990001
880001,16,2019-06-06 16:20:03,990075:990068:990001:660049:990098:990095
880001,12,2019-06-07 10:00:10,660049:990075:990068:990001:990098:990095
880001,19,2019-06-07 14:04:28,660049:990075:990068:990001:990098:990095
880002,23,2019-05-20 09:07:47,990001
880002,11,2019-05-20 11:13:54,990001
880002,8,2019-05-20 11:20:13,990001
880002,21,2019-05-23 11:27:55,990001
880002,16,2019-05-23 17:26:26,990025:990001:660002
880002,12,2019-05-23 17:43:12,990001:660002:990025
880002,19,2019-05-24 15:54:44,990001:660002:990025
880003,23,2019-05-20 09:07:47,990001
880003,11,2019-05-20 11:13:54,990001
880003,8,2019-05-23 11:00:25,990001
880003,21,2019-05-23 11:27:55,990001
880003,16,2019-05-23 17:26:26,990025:990001:660002
880003,12,2019-05-23 17:43:12,990001:660002:990025
880003,19,2019-05-24 15:54:44,990001:660002:990025
880004,23,2019-05-20 09:07:47,990001
880004,11,2019-05-20 11:13:54,990001
880004,18,2019-05-20 13:54:37,990001
880004,7,2019-05-21 10:03:49,990001
880004,21,2019-05-23 11:27:55,990001
880004,8,2019-06-20 14:58:13,990001
880004,16,2019-06-25 11:30:01,990001:990098:660109
880004,12,2019-06-25 11:55:45,990001:990098:660109
880004,19,2019-06-26 09:18:52,990001:990098:660109
880005,23,2019-05-20 10:35:21,990002
880005,11,2019-05-21 12:19:16,990002
880005,8,2019-05-21 12:35:03,990002
880005,21,2019-05-22 14:47:40,990002
880005,16,2019-05-23 11:00:25,990012:990002:990009:990013:990011:660001
880005,12,2019-05-23 14:22:59,990012:990009:990013:990011:990002:660001
880005,6,2019-05-23 14:48:41,990012:990009:990013:990011:990002:660001
880005,19,2019-05-23 19:14:00,990012:990009:990013:990011:990002:660001
880006,23,2019-05-20 10:35:21,990002
880006,8,2019-05-20 10:38:17,990002
880006,11,2019-05-21 12:19:16,990002
880006,21,2019-05-22 14:47:40,990002
880006,16,2019-05-23 11:00:25,990012:990002:990009:990013:990011:660001
880006,12,2019-05-23 14:22:59,990012:990009:990013:990011:990002:660001
