CaseID,ActivityID,timestamp,related_objects
990001,9,2019-05-20 09:07:47,880002:880003:880004:880001
990001,7,2019-05-20 11:13:54,880002:880001:880003:880004
990001,21,2019-05-23 11:27:55,880002:880001:880003:880004
990002,9,2019-05-20 10:35:21,880006:880008:880005:880007
990002,7,2019-05-21 12:19:16,880006:880008:880005:880007
990002,21,2019-05-22 14:47:40,880006:880008:880005:880007
990003,9,2019-05-20 12:30:30,880011:880010:880012:880009
990003,7,2019-05-20 12:34:16,880012:880009:880011:880010
990003,21,2019-05-21 10:41:07,880012:880009:880011:880010
990004,9,2019-05-20 14:20:47,880014:880013
990004,7,2019-05-20 18:36:37,880014:880013
990004,4,2019-06-09 18:36:37,880014:880022:880072:880109:880020:880103:880069:880073:880013:880071:880106:660003:880070
990004,21,2019-06-13 10:57:55,880014:880022:880072:880109:880020:880103:880069:880073:880013:880071:880106:660003:880070
990005,9,2019-05-20 16:01:22,880015:880016
990005,7,2019-05-21 10:34:23,880015:880016
990005,4,2019-06-10 10:34:23,880015:880161:660009:880162:880158:880016
990005,4,2019-06-30 10:34:23,880015:880161:660009:880162:880158:880016
990005,21,2019-07-03 17:07:23,880015:880161:660009:880162:880158:880016
990006,9,2019-05-20 17:22:31,880019:880017:880018
990006,7,2019-05-21 14:55:05,880017:880019:880018
990006,21,2019-05-31 21:05:52,880068:880067:880017:660005:880018:880065:880019
990007,9,2019-05-20 19:04:49,880022:880020:880021
990007,7,2019-05-21 14:33:48,880022:880020:880021
990007,4,2019-06-10 14:33:48,880022:880014:880072:880105:880104:880020:880021:880073:880109:660016:880103:880069:880107:880013:880071:880106:660003:880070
990007,21,2019-06-14 09:57:38,880022:880014:880072:880105:880104:880020:880021:880073:880109:660016:880103:880069:880107:880013:880071:880106:660003:880070
990008,9,2019-05-20 21:49:13,880028:880025:880027:880026:880024:880023
990008,7,2019-05-22 10:34:00,880028:880027:880026:880025:880024:880023
990008,21,2019-05-22 13:31:24,880028:880026:880027:880025:880024:880023
990009,9,2019-05-21 07:13:12,880030:880034:880029:880032:880031:880033
990009,7,2019-05-21 13:40:12,880032:880030:880029:880031:880034:880033
990009,21,2019-06-05 12:51:54,880008:880043:880038:880222:880034:880037:880033:880044:880143:880032:880049:880179:880046:880039:880140:880139:880006:880041:880005:880048:880144:880142:880180:880029:880031:880040:660001:880221:880007:880052:880141:880051:660027:880030:880042:880047:660013:880272
990010,9,2019-05-21 09:58:19,880036:880035
990010,7,2019-05-21 21:10:10,880036:880035
990010,4,2019-06-10 21:10:10,880166:660022:880121:880036:880129:880035:880122:660006:880128:880183:880184:880118:880164:880120:880165
990010,21,2019-06-14 08:33:46,880166:660022:880121:880036:880129:880035:880122:660006:880128:880183:880184:880118:880164:880120:880165
990011,9,2019-05-21 12:16:25,880037:880039:880038:880040
990011,7,2019-05-21 12:55:17,880039:880038:880040:880037
990011,21,2019-05-23 14:24:31,880006:880008:880041:880043:880005:880048:880038:880031:880037:660001:880033:880007:880051:880032:880049:880030:880039:880047:880040
990012,9,2019-05-21 13:52:38,880042:880041:880045:880043:880047:880044:880046
990012,7,2019-05-21 16:44:36,880041:880045:880043:880046:880042:880047:880044
990012,21,2019-06-06 17:01:11,880008:880043:880038:880037:880044:880033:880034:880340:880342:880045:880143:880032:880049:880046:880179:880039:880140:880139:880006:880041:880005:880048:880180:880031:880284:880040:660001:880007:880052:880051:880178:880042:880030:660039:880047:660013
990013,9,2019-05-21 16:05:03,880048:880053:880049:880050:880052:880051
990013,7,2019-05-21 21:40:22,880048:880049:880050:880053:880052:880051
990013,21,2019-05-29 11:06:49,880008:880043:880038:880037:880034:880033:880044:880143:880032:880049:880050:880179:880046:880039:880140:880139:880006:880041:880005:880048:880180:880031:880040:660001:880053:880052:880007:880051:880030:880042:880047:660013
990014,9,2019-05-21 17:29:53,880057:880055:880056:880054:880058
990014,7,2019-05-23 09:09:23,880057:880055:880054:880058:880056
990014,21,2019-05-24 09:37:42,880057:880055:880054:880058:880056
990015,9,2019-05-21 19:19:34,880064:880060:880059:880061:880063:880062
990015,7,2019-05-22 12:40:14,880064:880061:880062:880060:880059:880063
990015,21,2019-05-30 09:05:10,880064:880061:880062:660007:880060:880059:880063
990016,9,2019-05-21 22:18:43,880068:880066:880065:880067
990016,7,2019-05-23 11:58:56,880068:880067:880065:880066
990016,21,2019-05-28 09:13:13,880068:880067:880017:660005:880018:880065:880066:880019
990017,9,2019-05-22 08:29:00,880073:880070:880072:880071:880069
990017,7,2019-05-22 10:21:25,880072:880069:880073:880071:880070
990017,21,2019-05-29 10:35:55,880014:880022:880072:880109:880020:880103:880069:880073:880013:880071:880106:660003:880070
990018,9,2019-05-22 10:33:18,880075:880076:880074
990018,7,2019-05-22 14:44:07,880076:880075:880074
990018,21,2019-05-23 15:19:51,880076:880075:880074
990019,9,2019-05-22 12:26:23,880077:880078
990019,7,2019-05-22 15:42:38,880077:880078
990019,4,2019-06-11 15:42:38,880028:880026:880078:880113:880025:880012:660004:880011:880077:880010:880024:880023
990019,21,2019-06-13 10:15:04,880028:880026:880078:880113:880025:880012:660004:880011:880077:880010:880024:880023
990020,9,2019-05-22 14:12:34,880079:880081:880080
990020,7,2019-05-23 13:04:43,880079:880080:880081
990020,21,2019-05-31 14:55:51,880079:880202:660012:880125:880080:880081
990021,9,2019-05-22 15:44:55,880084:880083:880082:880087:880086:880085
990021,7,2019-05-23 22:00:00,880084:880085:880083:880082:880086:880087
990021,21,2019-05-27 12:19:36,880084:880085:880083:880082:880086:880087
990022,9,2019-05-22 17:49:37,880088:880090:880089:880091
990022,7,2019-05-23 11:23:05,880090:880091:880089:880088
990022,21,2019-06-03 11:04:21,660010:880090:880148:880091:880089:880123:880092:880088
990023,9,2019-05-22 20:08:26,880093:880092
990023,7,2019-05-24 14:55:25,880093:880092
990023,21,2019-05-27 09:22:27,880093:880092
990024,9,2019-05-22 22:56:27,880094:880096:880095
990024,7,2019-05-23 12:55:00,880096:880094:880095
990024,21,2019-05-29 19:51:41,880154:880150:880096:880094:660011:880156:880095
990025,9,2019-05-23 09:44:29,880097:880098:880100:880101:880102:880099
990025,7,2019-05-24 17:01:23,880002:880097:660002:880098:880100:880101:880102:880003:880099
990025,21,2019-05-31 15:35:49,880002:660015:880097:660002:880098:880100:880101:880102:880003:880099
990026,9,2019-05-23 11:48:45,880108:880105:880109:880104:880106:880103:880107
990026,7,2019-05-24 16:32:09,880014:880022:880105:880072:880104:880020:880073:880109:880103:880069:880107:880108:880013:880071:880106:660003:880070
990026,4,2019-06-13 16:32:09,880014:880022:880372:880105:880072:880104:880020:880021:880374:880073:880375:880109:660016:880373:880103:880069:880107:880108:660052:880013:880303:880071:880106:660003:880070
990026,21,2019-06-19 10:00:32,880014:880022:880372:880105:880072:880104:880020:880021:880374:880073:880375:880109:660016:880373:880103:880069:880107:880108:660052:880013:880303:880071:880106:660003:880070
990027,9,2019-05-23 13:57:18,880110:880111
990027,7,2019-05-23 16:27:55,880110:880111
990027,4,2019-06-12 16:27:55,880057:880054:660008:880111:880074:660030:880244:880058:880076:880110:880146:880056:880240:880239:880075
990027,21,2019-06-28 09:34:47,880057:880054:660008:880111:880074:660030:880244:880058:880076:880110:880146:880056:880240:880239:880075
990028,9,2019-05-23 16:14:23,880113:880114:880112
990028,7,2019-05-24 08:27:33,880113:880114:880112
990028,21,2019-06-05 09:31:56,880112:880027:660017:880113:880025:880012:880009:660004:880028:880114:880026:880078:880011:880077:880010:880024:880023
990029,9,2019-05-23 17:48:34,880116:880117:880115
990029,7,2019-05-30 14:31:12,660018:880115:880116:880117
990029,21,2019-05-30 20:54:23,660018:880115:880116:880117
990030,9,2019-05-23 20:05:16,880119:880118:880121:880120:880122
990030,7,2019-05-24 09:35:41,880121:880122:880119:880118:880120
990030,4,2019-06-13 09:35:41,880121:880122:660006:880316:660038:880317:880181:880129:880036:880315:880119:880118:880128:880120
990030,21,2019-06-14 18:59:46,880121:880122:660006:880316:660038:880317:880181:880129:880036:880315:880119:880118:880128:880120
990031,9,2019-05-23 22:50:07,880123
990031,7,2019-05-24 12:33:34,880123
990031,21,2019-05-28 15:42:42,660010:880090:880148:880091:880089:880123:880092:880088
