CaseID,ActivityID,timestamp,related_objects
990001,23,2019-05-20 09:07:47,880003:880001:880002:880004
990001,11,2019-05-20 11:13:54,880004:880003:880001:880002
990001,8,2019-05-20 11:20:13,880001:880004:880002:880003
990001,18,2019-05-20 13:54:37,880001:880004:880002:880003
990001,7,2019-05-21 10:03:49,880001:880004:880002:880003
990001,18,2019-05-23 10:40:50,880001:880004:880002:880003
990001,8,2019-05-23 11:00:25,880001:880004:880002:880003
990001,21,2019-05-23 11:27:55,880004:880003:880001:880002
990001,16,2019-05-23 17:26:26,880098:880099:880004:880003:880001:660002:880101:880002
990001,12,2019-05-23 17:43:12,880098:880099:880004:880003:880001:660002:880101:880002
990001,19,2019-05-24 15:54:44,880098:880099:880004:880003:880001:660002:880101:880002
990001,7,2019-05-27 17:54:52,880098:880099:880004:880003:880001:660002:880101:880002
990001,8,2019-06-04 15:20:53,880098:880099:880004:880003:880001:660002:880101:880002
990001,16,2019-06-06 16:20:03,880262:880378:880286:880099:880004:660049:880377:880263:880392:880379:880001:880101:880002:880376:880098:880264:880003:880391:880396:880390:660002:880394:880393
990001,12,2019-06-07 10:00:10,880286:660049:880392:880379:880376:880391:880390:880394:880378:880377:880099:880004:880263:880001:880101:880002:880098:880264:880393:880003:880396:660002:880262
990001,19,2019-06-07 14:04:28,880286:660049:880392:880379:880376:880391:880390:880394:880378:880377:880099:880004:880263:880001:880101:880002:880098:880264:880393:880003:880396:660002:880262
990001,8,2019-06-20 14:58:13,880262:880378:880286:660049:880377:880099:880004:880392:880379:880263:880001:880101:880002:880376:880098:880264:880003:880391:880396:880390:660002:880394:880393
990001,16,2019-06-25 11:30:01,880262:880378:880286:660049:880377:880099:880004:880392:880379:880263:880001:880101:880002:660109:880376:880098:880264:880003:880391:880396:880390:660002:880394:880393:880395
990001,12,2019-06-25 11:55:45,880262:880378:880286:660049:880377:880099:880004:880392:880379:880263:880001:880101:880002:660109:880376:880098:880264:880003:880391:880396:880390:660002:880394:880393:880395
990001,19,2019-06-26 09:18:52,880262:880378:880286:660049:880377:880099:880004:880392:880379:880263:880001:880101:880002:660109:880376:880098:880264:880003:880391:880396:880390:660002:880394:880393:880395
990002,23,2019-05-20 10:35:21,880005:880008:880006:880007
990002,8,2019-05-20 10:38:17,880005:880008:880006:880007
990002,8,2019-05-20 17:08:25,880005:880008:880006:880007
990002,8,2019-05-20 18:15:00,880005:880008:880006:880007
990002,11,2019-05-21 12:19:16,880005:880008:880006:880007
990002,8,2019-05-21 12:35:03,880005:880008:880006:880007
990002,21,2019-05-22 14:47:40,880005:880008:880006:880007
990002,16,2019-05-23 11:00:25,880032:880038:880005:880051:880008:880030:880040:880007:880041:880047:660001:880043:880031:880006:880048:880049:880033
990002,12,2019-05-23 14:22:59,880032:880038:880005:880051:880008:880030:880040:880007:880041:880047:660001:880043:880031:880006:880048:880049:880033
990002,6,2019-05-23 14:48:41,880032:880038:880005:880051:880008:880030:880040:880007:880041:880047:660001:880043:880031:880006:880048:880049:880033
990002,19,2019-05-23 19:14:00,880032:880038:880005:880051:880008:880030:880040:880007:880041:880047:660001:880043:880031:880006:880048:880049:880033
990003,23,2019-05-20 12:30:30,880009:880011:880010:880012
990003,11,2019-05-20 12:34:16,880011:880009:880010:880012
990003,18,2019-05-20 15:19:49,880009:880011:880010:880012
990003,8,2019-05-20 17:51:15,880009:880011:880010:880012
990003,8,2019-05-21 09:43:01,880009:880011:880010:880012
990003,21,2019-05-21 10:41:07,880011:880009:880010:880012
990003,8,2019-05-21 14:58:29,880009:880011:880010:880012
990003,7,2019-05-22 16:52:23,880009:880011:880010:880012
990003,16,2019-05-24 15:49:44,880011:880078:880024:880023:880077:880025:880026:880028:660004:880009:880010:880113:880012
990003,8,2019-05-24 17:26:40,880011:880078:880025:880026:880024:880028:880023:660004:880009:880010:880113:880012:880077
990003,12,2019-05-27 09:50:01,880011:880078:880024:880023:880077:880025:880026:880028:660004:880009:880010:880113:880012
990003,19,2019-05-27 12:39:25,880011:880078:880024:880023:880077:880025:880026:880028:660004:880009:880010:880113:880012
990003,16,2019-05-29 16:14:37,880027:880011:880078:880025:880026:880112:880024:880028:880023:660004:660017:880009:880114:880010:880113:880012:880077
990003,12,2019-05-30 10:19:45,880011:880078:880024:880023:880077:880027:880025:880026:880112:880028:660004:660017:880009:880114:880010:880113:880012
990003,19,2019-05-31 11:00:07,880011:880078:880024:880023:880077:880027:880025:880026:880112:880028:660004:660017:880009:880114:880010:880113:880012
990004,23,2019-05-20 14:20:47,880013:880014
990004,8,2019-05-20 16:56:02,880013:880014
