CaseID,ActivityID,timestamp,related_objects
660001,17,2019-05-23 11:00:25,880006:880008:880041:880043:880005:880048:990012:990011:880038:880031:880033:880007:880051:990009:990002:880032:880049:880030:880047:880040:990013
660001,24,2019-05-23 14:22:59,880008:880043:990012:990011:880038:880033:990009:990002:880032:880049:880006:880041:880005:880048:880031:880007:880051:880030:880047:880040:990013
660001,6,2019-05-23 14:48:41,880008:880043:990012:990011:880038:880033:990009:990002:880032:880049:880006:880041:880005:880048:880031:880007:880051:880030:880047:880040:990013
660001,5,2019-05-23 19:14:00,880008:880043:990012:990011:880038:880033:990009:990002:880032:880049:880006:880041:880005:880048:880031:880007:880051:880030:880047:880040:990013
660002,17,2019-05-23 17:26:26,880002:990001:880098:880101:990025:880003:880099
660002,24,2019-05-23 17:43:12,880002:990001:880098:880101:990025:880003:880099
660002,5,2019-05-24 15:54:44,880002:990001:880098:880101:990025:880003:880099
660003,17,2019-05-24 10:49:32,880014:880022:990017:880072:880020:880073:990026:880071:880109:990007:880103:880069:880013:990004:880106:880070
660003,24,2019-05-27 10:40:13,880014:880022:990017:880072:880020:880073:990026:880071:880109:990007:880103:880069:880013:990004:880106:880070
660003,6,2019-05-27 14:56:21,880014:880022:990017:880072:880020:880073:990026:880071:880109:990007:880103:880069:880013:990004:880106:880070
660003,5,2019-05-28 12:42:06,880014:880022:990017:880072:880020:880073:990026:880071:880109:990007:880103:880069:880013:990004:880106:880070
660004,17,2019-05-24 15:49:44,990028:880028:880026:990008:880078:990019:880113:880025:880012:880011:880077:880010:880024:990003:880023
660004,24,2019-05-27 09:50:01,990008:990019:880113:880025:880012:990003:990028:880028:880026:880078:880011:880077:880010:880024:880023
660004,5,2019-05-27 12:39:25,990008:990019:880113:880025:880012:990003:990028:880028:880026:880078:880011:880077:880010:880024:880023
660005,17,2019-05-25 01:00:00,880068:880067:880017:990006:880018:880065:990016:880019
660005,24,2019-05-27 20:29:32,880068:880067:880017:990006:880018:880065:990016:880019
660005,5,2019-05-29 09:50:36,880068:880067:880017:990006:880018:880065:990016:880019
660006,17,2019-05-27 11:49:13,880121:880129:880036:990010:880122:990030:990033:880118:880128:880120
660006,24,2019-05-28 12:29:53,880121:990010:880122:990030:990033:880129:880036:880118:880128:880120
660006,5,2019-05-28 15:50:34,880121:990010:880122:990030:990033:880129:880036:880118:880128:880120
660007,17,2019-05-27 15:11:01,880064:880059:880063:880062:990015
660007,24,2019-05-28 11:03:28,880064:880062:880059:880063:990015
660007,5,2019-05-28 20:08:20,880064:880062:880059:880063:990015
660008,17,2019-05-27 16:26:44,880057:880054:990038:880074:880058:880076:880110:880146:880056:880075:990014:990027:990018
660008,24,2019-05-27 18:57:39,880054:990038:880074:880076:880110:880146:880056:880075:990014:880057:880058:990018:990027
660008,5,2019-05-28 17:52:39,880054:990038:880074:880076:880110:880146:880056:880075:990014:880057:880058:990018:990027
660009,17,2019-05-28 09:49:33,880162:880161:990005:990042:880158:880015:880016
660009,24,2019-05-28 16:20:29,880161:990042:880158:990005:880016:880162:880015
660009,5,2019-05-29 12:01:39,880161:990042:880158:990005:880016:880162:880015
660010,17,2019-05-28 11:12:33,990023:880090:880148:880091:990022:990031:880089:990040:880123:880092:880088
660010,24,2019-05-28 15:57:57,880090:880091:990031:990040:880123:880092:990023:880148:990022:880089:880088
660010,5,2019-05-29 09:08:16,880090:880091:990031:990040:880123:880092:990023:880148:990022:880089:880088
660011,17,2019-05-28 14:22:11,880154:880150:880096:990024:880094:990041:880156:880095
660011,24,2019-05-28 16:01:33,880154:880150:880096:990024:880094:990041:880156:880095
660011,5,2019-05-29 09:58:19,880154:880150:880096:990024:880094:990041:880156:880095
660012,17,2019-05-28 16:07:01,880079:880202:990032:880125:880080:990052:990020:880081
660012,24,2019-05-29 16:16:17,880079:880202:990032:880125:880080:990052:990020:880081
660012,5,2019-05-29 20:01:33,880079:880202:990032:880125:880080:990052:990020:880081
660013,17,2019-05-28 17:21:54,990012:990011:880180:880037:880034:880044:880052:990009:880139:880143:880179:880046:880042:880039:990046:880140:990036:990013
660013,24,2019-05-29 14:30:00,990012:990011:880180:880037:880034:880044:880052:990009:880139:880143:880179:880046:880042:880039:990046:880140:990036:990013
660013,5,2019-05-29 16:14:22,990012:990011:880180:880037:880034:880044:880052:990009:880139:880143:880179:880046:880042:880039:990046:880140:990036:990013
660014,17,2019-05-29 11:18:17,880175:880133:880084:990021:880134:880085:990045:990034:880082:880083:880131:880087
660014,24,2019-05-29 19:29:05,880175:880085:990045:990034:880083:880131:880133:990021:880084:880134:880082:880087
660014,5,2019-05-30 10:34:44,880175:880085:990045:990034:880083:880131:880133:990021:880084:880134:880082:880087
660015,17,2019-05-29 13:59:21,880097:880100:990025
660015,24,2019-05-29 19:08:32,880097:880100:990025
660015,5,2019-05-30 14:50:42,880097:880100:990025
660016,17,2019-05-29 15:38:06,880105:990007:990026:880104:880021:880107
660016,24,2019-05-30 10:10:22,880105:990007:880104:880021:880107:990026
660016,5,2019-05-30 12:02:46,880105:990007:880104:880021:880107:990026
660017,17,2019-05-29 16:14:37,990028:880009:880114:880027:990008:990003:880112
660017,24,2019-05-30 10:19:45,990028:880114:880027:990008:880009:990003:880112
660017,5,2019-05-31 11:00:07,990028:880114:880027:990008:880009:990003:880112
660018,17,2019-05-29 17:38:50,880117:990029:880115
660018,24,2019-05-30 13:17:32,880115:880117:990029
660018,5,2019-05-30 15:42:57,880115:880117:990029
660019,17,2019-05-29 18:01:12,880197:880205:880195:880138:880136:880206:990053:880137:990035:990050
660019,24,2019-05-29 19:32:41,880197:880205:880138:880136:880206:990053:990035:990050:880195:880137
660019,6,2019-05-30 13:16:22,880197:880205:880138:880136:880206:990053:990035:990050:880195:880137
660019,5,2019-05-30 16:23:46,880197:880205:880138:880136:880206:990053:990035:990050:880195:880137
660020,17,2019-05-30 01:00:00,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660020,24,2019-05-30 14:38:24,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660020,6,2019-05-30 16:34:12,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660020,6,2019-05-31 10:30:10,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660020,6,2019-05-31 14:58:13,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660020,5,2019-05-31 16:18:19,880186:990061:880232:880219:880220:880190:990060:880218:990048:880187:880188:880233:880229:880066:990016:990056
660021,17,2019-05-30 15:56:05,880173:880061:880170:880172:880060:990044:880174:880168:990015
660021,24,2019-05-31 12:07:26,880173:880061:880170:880172:880060:990044:880174:880168:990015
660021,5,2019-05-31 12:59:10,880173:880061:880170:880172:880060:990044:880174:880168:990015
