CaseID,ActivityID,timestamp,related_objects
660001,16,2019-05-23 11:00:25,880032:880038:990009:990013:880051:880005:880008:880030:880040:880007:880041:880047:880043:990012:880031:990011:990002:880006:880048:880049:880033
660001,12,2019-05-23 14:22:59,880038:990013:880051:880005:880008:880040:880041:880047:880043:990012:880031:880033:880032:990009:880030:880007:990011:990002:880006:880048:880049
660001,6,2019-05-23 14:48:41,880038:990013:880051:880005:880008:880040:880041:880047:880043:990012:880031:880033:880032:990009:880030:880007:990011:990002:880006:880048:880049
660001,19,2019-05-23 19:14:00,880038:990013:880051:880005:880008:880040:880041:880047:880043:990012:880031:880033:880032:990009:880030:880007:990011:990002:880006:880048:880049
660002,16,2019-05-23 17:26:26,990001:880098:880099:880002:990025:880101:880003
660002,12,2019-05-23 17:43:12,880098:880099:990025:880003:990001:880101:880002
660002,19,2019-05-24 15:54:44,880098:880099:990025:880003:990001:880101:880002
660003,16,2019-05-24 10:49:32,880070:990004:880022:990026:990017:880013:880020:880014:880072:880073:880071:880109:880103:880069:880106:990007
660003,12,2019-05-27 10:40:13,880070:990004:880022:990026:990017:880013:880020:880014:880072:880073:880071:880109:880103:880069:880106:990007
660003,6,2019-05-27 14:56:21,880070:990004:880022:990026:990017:880013:880020:880014:880072:880073:880071:880109:880103:880069:880106:990007
660003,19,2019-05-28 12:42:06,880070:990004:880022:990026:990017:880013:880020:880014:880072:880073:880071:880109:880103:880069:880106:990007
660004,16,2019-05-24 15:49:44,880011:880078:880025:880026:880024:880028:880023:990003:990028:990019:880010:880113:880012:880077:990008
660004,12,2019-05-27 09:50:01,880011:880078:880024:880023:990003:990028:880077:990008:880025:880026:880028:990019:880010:880113:880012
660004,19,2019-05-27 12:39:25,880011:880078:880024:880023:990003:990028:880077:990008:880025:880026:880028:990019:880010:880113:880012
660005,16,2019-05-25 01:00:00,880017:880018:880067:880019:990006:990016:880065:880068
660005,12,2019-05-27 20:29:32,880017:880018:880067:880019:990006:990016:880065:880068
660005,19,2019-05-29 09:50:36,880017:880018:880067:880019:990006:990016:880065:880068
660006,16,2019-05-27 11:49:13,880128:880121:880036:990030:880120:990010:880129:880122:880118:990033
660006,12,2019-05-28 12:29:53,880128:880036:990030:880120:880129:880122:880118:880121:990010:990033
